nid	mid	fields
1671362638671	1656929491595	What is biological species?	A group of populations whose members have the potential to interbreed in nature and produce fertile offspring.
1671362683939	1656929491595	What is speciation?	It is the process ny which one species splits into two or more species.
1671362761670	1656929491595	What is the basic thing that needs to happen for speciation to occur?	A key even tin the origin of a new species is the separation of a population from other populations of the same species.
1671362822555	1656929491595	What are the names of the four kinds of speciation?	1. Allopatric<br>2. Sympatric<br>3. Peripatric<br>4. Parapatric
1671363207498	1656929491595	A large lake has dried up, and has split into smaller lakes. What is th type of speciation that will happen here?	Allopatric Speciation
1671363278327	1656929491595	What is allopatric speciation?	It is speciation due to&nbsp;<b>geographical isolation</b>.<br>Ex - A mountain emerging and splitting a population, Continental drifts, etc.
1671363370226	1656929491595	Why does allopatric speciation create new species?	Due to the geographic barrier, the new environment that a portion of the population finds itself in might be different (food, predators, etc). The changing population traits create reproductive isolation, causing speciation.
1671363527455	1656929491595	What is the name of speciation that occures strictly without geographic barriers?	Sympatric speciation
1671363605494	1656929491595	What is sympatric speciation? Just define it.	This is speciation that occurs without the presence of any geographic barriers.
1671363734545	1656929491595	What are the causes for sympatric speciation?	This is speciation that is caused when the mating and the resulting gene flow between populations is reduced by factors such as <b>polyploidy</b>, <b>habitat</b> <b>differentiation</b>, and <b>sexual</b> <b>selection</b>.
1671363754436	1656929491595	What is the meaning of the word&nbsp;<b>ploidy</b>?	It means the number of chromosomes.
1671363844750	1656929491595	What is the meaning of&nbsp;<b>polyploidy</b>?	Presence of more than a complete set of chromosomes.
1671364096682	1656929491595	How does polyploidy cause speciation? What is this type of speciation called?	<img src="78876396.png"><br>When the reductional division of a cell does not reduce the number of chromosomes due to some defect, the resulting cell contains twice the number of chromosomes as the original contained. This instantaneously creates a new species (quite common in plants).<br>This is a type of sympatric speciation.
1671364584078	1656929491595	What are some examples of plants that are polyploid?	Seedless Watermelon (triploid)<br>Peanuts and Blackberries (Tetraploid)<br>Strawberry (Octaploid)
1671364643944	1656929491595	<img src="68855156.png"><br>What kind of speciation does this represent?	It represents allopatric speciation.
1671364673024	1656929491595	<img src="69644617.png"><br>What kind of speciation does this represent?	Sympatric Speciation.
1671365229902	1656929491595	What is peripatric speciation?	<img src="57137459.png"><br>It is the reproductive isolation of a population of the species that is on the periphery of the natural habitat of the species.
1671365273520	1656929491595	What is the difference between peripatric speciation and allopatric speciation?	They are hard to distinguish, but one of the factors that need to be kept in mind is that one population is much smaller than the other in peripatric speciation.
1671365389078	1656929491595	What is paratric speciation?	<img src="56813418.png"><br>Two subpopulations of a speces evolve reproductive isolation from one another while continuining to exchange genes.
1671365452141	1656929491595	What are the three main characteristics of parapatric speciation?	1. The mating is non-random<br>2. Gene flow occurs unequally<br>3. populations exist in either continuous or discontinuous geographic ranges
1671365508520	1656929491595	<img src="89367980.png"><br>What kind of speciation is this?	This is parapatric speciation.
